country;iso3;currency;start_date_observations;end_date_observations;number_of_markets_modeled;number_of_markets_covered;number_of_food_items;data_coverage_food;data_coverage_previous_12_months_food;total_food_price_increase_since_start_date;average_annualized_food_inflation;maximum_food_drawdown;average_annualized_food_volatility;average_monthly_food_price_correlation_between_markets;average_annual_food_price_correlation_between_markets;index_confidence_score
Afghanistan;AFG;AFN;01/01/2007;01/09/2023;40;40;3;31.77;74.93;167.97;6.06;-40.67;7.93;62;87;92
Burundi;BDI;BIF;01/01/2007;01/08/2023;72;72;10;38.24;74.39;254.94;7.86;-30.77;12.03;6;83;9
Burkina Faso;BFA;XOF;01/01/2007;01/07/2023;64;64;3;5.52;67.53;201.25;6.81;-3.67;13.71;57;8;83
Central African Republic;CAF;XAF;01/01/2007;01/06/2023;42;42;5;24.85;46.11;134.62;5.22;-24.85;13.74;39;59;89
Cameroon;CMR;XAF;01/04/2010;01/08/2023;83;83;10;8.84;29.38;39.02;2.47;-2.79;1.84;25;67;98
Congo, Dem. Rep.;COD;CDF;01/01/2007;01/01/2023;86;86;17;15.65;6.67;193.41;6.64;-15.73;6.99;26;55;93
Congo, Rep.;COG;XAF;01/01/2011;01/04/2022;13;13;4;29.37;0;17.06;1.24;-8.13;5.45;19;27;82
Gambia, The;GMB;GMD;01/01/2007;01/07/2023;28;28;26;31.08;73.19;19.54;6.68;-20.83;7.15;56;84;94
Guinea-Bissau;GNB;XOF;01/06/2007;01/08/2023;45;45;5;15.61;59.78;30.87;1.62;-28.04;11.77;79;92;89
Haiti;HTI;HTG;01/01/2007;01/06/2023;9;9;8;62.29;52.89;604.41;12.36;-31.98;11.66;52;91;95
Iraq;IRQ;IQD;01/01/2012;01/09/2023;20;20;18;56.52;87.06;1.57;1.25;-14.16;3.64;22;37;97
Lao PDR;LAO;LAK;01/02/2009;01/07/2023;17;17;11;6.15;61.54;154.05;6.56;-7.92;0.36;36;79;99
Lebanon;LBN;LBP;01/01/2012;01/08/2023;27;27;22;60.62;15.38;5802.64;41.49;-12.13;18.17;77;99;94
Liberia;LBR;LRD;01/01/2007;01/08/2020;24;24;4;33.46;0;248.64;7.74;-10.82;7.98;28;6;94
Mali;MLI;XOF;01/01/2007;01/06/2023;127;127;5;43.63;33.73;80.17;3.58;-38.68;8.26;5;82;92
Myanmar;MMR;MMK;01/01/2008;01/08/2023;228;228;3;1.57;41.31;402.34;10.79;-23.71;9.89;26;65;89
Mozambique;MOZ;MZN;01/01/2007;01/02/2023;99;99;7;19.17;6.55;243.02;7.64;-2.26;0.66;43;88;93
Niger;NER;XOF;01/01/2007;01/07/2023;79;79;3;69.91;47.01;63.73;2.99;-23.76;9.54;44;76;89
Nigeria;NGA;NGN;01/01/2007;01/01/2023;35;35;8;21.55;10.89;275.01;8.21;-37.05;11.84;83;97;95
Sudan;SDN;SDG;01/01/2007;01/08/2023;17;17;4;40.12;28.31;159165.63;5.53;-12.16;24.77;64;95;93
Somalia;SOM;SOS;01/01/2007;01/07/2023;44;44;5;19.65;15.08;123.12;4.91;-37.03;9.54;58;89;9
South Sudan;SSD;SSP;01/01/2007;01/08/2023;30;30;9;24.84;50.68;63524.56;47.02;-29.43;22.75;67;97;9
Syrian Arab Republic;SYR;SYP;01/02/2011;01/07/2023;97;97;24;28.56;35.19;4135.12;34.15;-13.96;12.68;6;96;95
Chad;TCD;XAF;01/01/2007;01/08/2023;62;62;4;27.41;42.07;68.28;3.16;-32.67;12.58;58;79;89
Yemen, Rep.;YEM;YER;01/01/2009;01/07/2023;24;24;15;47.97;58.38;524.33;13.22;-14.88;10.65;55;75;95
